原始ID,名称,模块,实现状态,本地运行状态,绿色,本地验证范围,原版成对验证,剩余问题,后续验证要求
acceptance:CDR-001,CDR-001,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CDR-002,CDR-002,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CDR-003,CDR-003,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CDR-004,CDR-004,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CERT-01,CERT-01,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CERT-02,CERT-02,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CERT-03,CERT-03,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CERT-04,CERT-04,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CFG-001,CFG-001,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CFG-002,CFG-002,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CFG-003,CFG-003,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CUT-01,CUT-01,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CUT-02,CUT-02,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CUT-03,CUT-03,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CUT-04,CUT-04,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CUT-05,CUT-05,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CUT-06,CUT-06,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CUT-07,CUT-07,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CUT-08,CUT-08,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:DIR-001,DIR-001,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:DIR-002,DIR-002,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:DIR-003,DIR-003,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:DP-001,DP-001,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:DP-002,DP-002,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:DP-003,DP-003,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:DP-004,DP-004,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:DP-005,DP-005,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:DP-006,DP-006,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T01,ESL-T01,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T02,ESL-T02,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T03,ESL-T03,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T04,ESL-T04,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T05,ESL-T05,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T06,ESL-T06,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T07,ESL-T07,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T08,ESL-T08,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T09,ESL-T09,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T10,ESL-T10,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T11,ESL-T11,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T12,ESL-T12,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T13,ESL-T13,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T14,ESL-T14,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T15,ESL-T15,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T16,ESL-T16,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T17,ESL-T17,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T18,ESL-T18,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T19,ESL-T19,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T20,ESL-T20,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T21,ESL-T21,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T22,ESL-T22,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T23,ESL-T23,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T24,ESL-T24,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T25,ESL-T25,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:ESL-T26,ESL-T26,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
