id,kind,source,line,input_or_scenario,assertions,status
CFG-001,scenario,03-config-dialplan-integrations.md,185,两个 include 文件有先后依赖，混用 `$${}` 与 `${}`，修改变量后 reload,预处理、后续呼叫与既有通话的值分别一致,not_run
CFG-002,scenario,03-config-dialplan-integrations.md,186,缺少包含文件、非法 XML、递归 include、重复参数、未知参数,退出/保留旧配置/日志行为按基准匹配；无静默新默认,not_run
CFG-003,scenario,03-config-dialplan-integrations.md,187,XML provider 早加载与晚加载两种配置,依赖模块初始化请求次序和失败行为一致,not_run
DIR-001,scenario,03-config-dialplan-integrations.md,188,user/group/domain 三层同名与独有变量,合并后的每个参数一致；用户值不被域值覆盖,not_run
DIR-002,scenario,03-config-dialplan-integrations.md,189,同分机号跨两个域，静态/动态目录混合,正确密码与账户归属；无跨域缓存命中,not_run
DIR-003,scenario,03-config-dialplan-integrations.md,190,`cacheable=100`、非数字值、缺失；查询/修改/过期/清缓存,HTTP 次数与返回用户值一致；毫秒单位正确,not_run
DP-001,scenario,03-config-dialplan-integrations.md,191,真/假条件分别组合四种 break 与 continue,extension/condition/应用轨迹完整一致,not_run
DP-002,scenario,03-config-dialplan-integrations.md,192,三层 nested，require-nested true/false；父 false 加 anti-action、break never,不按简化布尔模型执行；递归与反向动作顺序一致,not_run
DP-003,scenario,03-config-dialplan-integrations.md,193,普通 set 与 inline set 后立刻检查 `${}`；捕获 `$1` 被后续 regex 覆盖,route-time 与 run-time 的差异及捕获范围一致,not_run
DP-004,scenario,03-config-dialplan-integrations.md,194,inline 未注册应用、已注册但不允许 inline 应用、loop=0/-1,拒绝、挂断原因及后续应用是否执行一致,not_run
DP-005,scenario,03-config-dialplan-integrations.md,195,A/B 变量冲突，export/nolocal/bridge_export、每腿参数及 local_var_clobber,A 与全部 B 腿最终值及事件/CDR 传播一致,not_run
DP-006,scenario,03-config-dialplan-integrations.md,196,启用 chatplan，消息正文/事件头含特殊字符；普通/inline/反向动作及嵌套输入,路由、投递报告、正文与嵌套错误路径符合 chatplan 基准,not_run
APP-001,scenario,03-config-dialplan-integrations.md,197,早期媒体→接通→bridge 对端忙线/拒绝/超时/主动挂断,continue_on_fail、hangup_after_bridge、原因与执行位置一致,not_run
APP-002,scenario,03-config-dialplan-integrations.md,198,播放中收 DTMF，首位/位间/总超时，终止键，挂断与收号竞争,实际音频、数字、终止变量及完成事件一致,not_run
APP-003,scenario,03-config-dialplan-integrations.md,199,录音开始/暂停/恢复/转接/停止，文件打不开、磁盘满,声道、文件可读性、时间轴、失败表现与话单一致,not_run
XML-001,scenario,03-config-dialplan-integrations.md,200,中文/空格/`+%&`/重复字段；开关 enable-post-var；GET/custom method,原始 HTTP 和多值解码结果均符合参考,not_run
XML-002,scenario,03-config-dialplan-integrations.md,201,首 binding not-found，第二命中；两者 not-found 且本地命中,请求先后和最终路由一致，证实 fallback,not_run
XML-003,scenario,03-config-dialplan-integrations.md,202,首 binding 返回有效但缺目标 XML，第二后端和本地均可命中,不误走第二后端；本地目标选择符合参考,not_run
XML-004,scenario,03-config-dialplan-integrations.md,203,204/404/500、超时、空/坏/超大 XML、200 传输截断,请求次数、错误类别、最终来源及呼叫结果一致,not_run
SCRIPT-001,scenario,03-config-dialplan-integrations.md,204,同一 Lua/JS/Python 脚本从会话、同步 API、后台入口执行,参数、session 可用性、返回值、输出和完成时点一致,not_run
SCRIPT-002,scenario,03-config-dialplan-integrations.md,205,输入回调、hangup hook、XML handler、EventConsumer 超时/销毁,对象生命期、状态可见性、事件与异常行为一致,not_run
CDR-001,scenario,03-config-dialplan-integrations.md,206,接通/未接通/拒接/转接，A/B 全部组合，CSV/XML/JSON 并用,每模块正确数量；UUID 关联、字段类型、精度、模板字节一致,not_run
CDR-002,scenario,03-config-dialplan-integrations.md,207,URL 带查询串；三种 JSON 编码、四种 XML 编码、特殊字符,原始请求 URL/body/Content-Type 逐模式一致,not_run
CDR-003,scenario,03-config-dialplan-integrations.md,208,后端 500、超时、已入账但响应丢失；多 URL；错误目录不可写,先比对基线的尝试次数、路由与可能重复提交；可靠计费另以原后端幂等或已验证适配层为前提验收，不得偷偷吞重试,not_run
CDR-004,scenario,03-config-dialplan-integrations.md,209,队列满、进程退出、磁盘满、日志轮转,缺失/备份/重复计数可解释；可靠性增强有独立测试,not_run
HTT-001,scenario,03-config-dialplan-integrations.md,210,playback 收号→临时 action→下一轮→dial→挂断,session_id、cookie、一次性参数及 work 次序一致,not_run
HTT-002,scenario,03-config-dialplan-integrations.md,211,变量/应用权限拒绝、录音上传失败、未知标签、超时,不越权执行，不误报成功；后续 HTTP/媒体行为一致,not_run
INT-001,scenario,03-config-dialplan-integrations.md,212,AMQP 路由/过滤、断连/恢复、满队列、命令响应,消息头/正文与错误行为一致；未测试类型不标兼容,not_run
OPS-001,scenario,03-config-dialplan-integrations.md,213,原启动脚本和 fs_cli、PID 冲突、路径覆盖、信号/轮转/排空,脚本无需修改；退出码、文件、在途呼叫结果符合基准,not_run
SIP-C01,scenario,04-sip-media-native.md,34,profile 名称、监听地址、域、context、dialplan、alias,多 profile、同名冲突、IPv4/IPv6、端口被占用、禁用 profile | 加载结果、失败范围、监听集合、入口 context 和查询输出与基线一致,not_run
SIP-C02,scenario,04-sip-media-native.md,35,gateway 名称与所有参数的作用域、优先级、缺省值,注册/不注册中继；proxy、register-proxy、outbound-proxy 分离；入/出方向变量 | 实际请求目的地、From/Contact、认证身份、路由变量与基线一致；不能忽略未知配置却报告完整成功,not_run
SIP-C03,scenario,04-sip-media-native.md,36,profile/gateway 生命周期,`start/stop/restart/rescan/killgw` 等基线可用命令；`reloadxml` 后新旧呼叫并存 | 接受的命令语法、返回值、影响的呼叫范围及生效时机与基线一致；完整命令清单来自基线能力目录,not_run
SIP-C04,scenario,04-sip-media-native.md,37,REGISTER 用户目录与 Digest,正确/错误口令；realm、nonce 过期、stale、qop、重放；现网使用的算法 | 挑战头、校验、重试、注册状态和事件一致；不得以不校验认证实现表面接通,not_run
SIP-C05,scenario,04-sip-media-native.md,38,注册绑定与刷新,多 Contact、重复 REGISTER、过期边界、注销单个/全部绑定、多设备同账号 | 绑定数量、寻址结果、到期行为、通知和持久化作用域一致,not_run
SIP-C06,scenario,04-sip-media-native.md,39,注册传输与连接寿命,UDP/TCP/TLS/WS/WSS；连接复用、空闲、重连、断线后注册刷新 | 原终端不更改配置可注册与回呼；记录旧绑定可达性和恢复时限,not_run
SIP-C07,scenario,04-sip-media-native.md,40,注册中继恢复与 OPTIONS 探活,401/407、拒绝、丢响应、DNS 故障、连续成功/失败、超时重试 | 状态转换、下一次重试时间窗口、路由可用性及 `sofia::gateway_state` 类事件与基线匹配,not_run
SIP-C08,scenario,04-sip-media-native.md,41,身份与透传头,From、PAI、RPID、Privacy、Diversion、History-Info、自定义 `sip_h_*` 等现网变量 | A/B 腿头域、主被叫显示、隐私行为及变量可见性符合基线；不盲目跨信任域复制所有头,not_run
SIP-C09,scenario,04-sip-media-native.md,42,ACL 与域隔离,同账号跨域、目录不存在、ACL 命中/未命中、网关入口与用户入口交叉 | 访问控制、认证触发和失败事件一致；合法用户未被新的默认策略阻断,not_run
SIP-C10,scenario,04-sip-media-native.md,43,地址、端口和 DNS,`sip-ip/rtp-ip/ext-sip-ip/ext-rtp-ip`；A/AAAA/SRV/NAPTR 的基线启用组合与故障 | 对外公布地址、实际发送地址、重试路由和生存时间行为与基线一致,not_run
SIP-C11,scenario,04-sip-media-native.md,44,证书与 TLS 策略,现有证书路径、链、私钥口令、有效期、对端验证策略、协议/套件限制 | 无需重新签发证书或改客户端信任配置；成功和拒绝边界一致；不自动降级加密,not_run
SIP-C12,scenario,04-sip-media-native.md,45,存量注册与监控可见性,查询注册、联系人查找、profile/gateway 状态、刷新配置 | 业务和运维脚本的原命令、字段及状态语义保持；注册在线迁移需另过 MIG-03,not_run
SIP-D01,scenario,04-sip-media-native.md,55,UDP 基本呼入/呼出；同终端双向并发,请求/响应、独立呼叫腿、ACK、媒体建立、BYE、事件和话单完整闭环,not_run
SIP-D02,scenario,04-sip-media-native.md,56,TCP/TLS 分片、粘包、多消息、连接中断,Content-Length、消息边界、连接复用、失败传播；不得把一次读取视为完整 SIP 消息,not_run
SIP-D03,scenario,04-sip-media-native.md,57,WS/WSS 升级、子协议、分帧、控制帧、连接关闭,握手与 SIP 消息边界兼容；浏览器原客户端无需改库；WSS、DTLS 证书分别核验,not_run
SIP-D04,scenario,04-sip-media-native.md,58,初始 INVITE 带 SDP / 无 SDP,offer/answer 所在消息、ACK 中 SDP、早协商/晚协商时机与基线一致,not_run
SIP-D05,scenario,04-sip-media-native.md,59,100/180/183 的不同组合；早期媒体变更,振铃、回铃音、计费前媒体、`ignore_early_media` 等基线配置及进展事件一致,not_run
SIP-D06,scenario,04-sip-media-native.md,60,100rel、PRACK，RSeq/RAck 错误/重复/超时,双腿可靠临时响应分别维护；不重复回答、重复启动媒体或跨腿混用序号,not_run
SIP-D07,scenario,04-sip-media-native.md,61,丢失 INVITE/1xx/200/ACK/BYE/最终失败响应,基线的重传与清理时间窗口、重复报文幂等性；一个业务呼叫不因重传生成额外话单,not_run
SIP-D08,scenario,04-sip-media-native.md,62,CANCEL 早于/晚于 200；CANCEL 与 B 腿接通竞争,CANCEL 事务结果、INVITE 最终结果、必要 ACK/BYE、所有胜出/失败分支资源释放；不以已发 CANCEL 忽略迟到 200,not_run
SIP-D09,scenario,04-sip-media-native.md,63,上游/下游并发 BYE；未知对话；错误 CSeq/tag,响应、关闭原因、事件次序和计费结束点；无串话或双重业务结算,not_run
SIP-D10,scenario,04-sip-media-native.md,64,Route/Record-Route、loose/strict route、Contact 更新,对话内请求沿正确路由集发送；代理存在时双腿独立；不能只按最近包源地址返回,not_run
SIP-D11,scenario,04-sip-media-native.md,65,3xx 重定向、多 Contact、目标环路,跟随与透传策略、重试上限、认证和自定义头传播、最终失败原因与基线一致,not_run
SIP-D12,scenario,04-sip-media-native.md,66,并行/顺序 fork；多个 18x、多分支 200、全分支失败,胜出分支、早期媒体选择、取消未胜出分支、失败原因合并和事件关联一致,not_run
SIP-D13,scenario,04-sip-media-native.md,67,re-INVITE/UPDATE 保持恢复；`sendrecv/sendonly/recvonly/inactive`、零地址保持,单向/双向媒体、保持音乐、CHANNEL_HOLD/UNHOLD、SDP 版本变化与基线一致,not_run
SIP-D14,scenario,04-sip-media-native.md,68,同时 re-INVITE 的 glare、拒绝重协商、ACK 缺失,旧协商状态回退、重试、失败处理一致；拒绝新 offer 后仍能维持原通话,not_run
SIP-D15,scenario,04-sip-media-native.md,69,通话中改 codec/ptime/媒体 IP/端口；增加/关闭媒体 m-line,双腿协商原子性、PT 映射、资源切换和旧包处理；无已确认 SDP 与实际媒体路径不一致,not_run
SIP-D16,scenario,04-sip-media-native.md,70,Session-Expires、Min-SE、refresher、422、刷新丢失,主动/被动刷新角色、方法、重试和释放时机与配置基线一致；长通话持续覆盖多次刷新,not_run
SIP-D17,scenario,04-sip-media-native.md,71,REFER 盲转、带 Replaces 的咨询转接、失败转接恢复,REFER/NOTIFY 订阅结果、桥接关系、UUID 关联、旧腿关闭时机及话单结果一致,not_run
SIP-D18,scenario,04-sip-media-native.md,72,INFO DTMF、MESSAGE、SUBSCRIBE/NOTIFY、MWI/BLF/Presence,按现网启用模块逐项测试内容类型、事件包、订阅刷新、通知版本、权限和拒绝结果；不能统一返回 200,not_run
SIP-D19,scenario,04-sip-media-native.md,73,畸形/过长消息、重复头、未知 Require、未知方法、multipart SDP,与基线的接受/拒绝边界、错误码和连接处置对齐；不会损坏其他会话,not_run
SIP-D20,scenario,04-sip-media-native.md,74,本地 drain、CPS/会话/媒体资源耗尽、下游拥塞,对外错误码、Retry-After 是否存在、相关变量和事件一致；已接通呼叫服务质量单独计量,not_run
SIP-D21,scenario,04-sip-media-native.md,75,非 SIP 终端模块被使用,`mod_verto`、其他 endpoint 的协议与命令另列模块测试；通过 SIP over WSS 不能替代 Verto JSON-RPC 兼容,not_run
MED-01,scenario,04-sip-media-native.md,85,normal / proxy / bypass / bridge 后 bypass,每模式抓取两腿 SDP 与媒体路径；切换保持、转接和录音时按基线恢复媒体；模式未支持不可自动改为另一模式,not_run
MED-02,scenario,04-sip-media-native.md,86,RTP 包与时间轴,SSRC、sequence 回绕、timestamp 回绕、marker、CSRC、header extension、padding、重复/乱序；验证透明转发或终结重建是否符合所选模式,not_run
MED-03,scenario,04-sip-media-native.md,87,动态 PT 与多速率 codec,同 codec 不同 PT、两腿 PT 不同、fmtp/ptime/maxptime、音频采样率与 RTP clock 区别、CN/DTX；协商成功必须能实际双向播放,not_run
MED-04,scenario,04-sip-media-native.md,88,codec 集合与优先级,按基线实际加载清单逐个及成对验收 PCMU/PCMA、G722、Opus、其他语音/视频 codec；验证 absolute/inherit codec 类变量、禁用转码和协商失败,not_run
MED-05,scenario,04-sip-media-native.md,89,转码与重采样,每个已声明支持的有向 codec 对、声道数/采样率/帧长组合；音质、音量、延迟、CPU、解码错误处理和两腿 RTP 节奏均达预先冻结门槛,not_run
MED-06,scenario,04-sip-media-native.md,90,抖动缓冲、PLC、FEC、VAD,确定性注入延迟/乱序/丢失/重复；输出音频和计数与基线功能设置一致；网络真实丢包与补偿输出分别统计,not_run
MED-07,scenario,04-sip-media-native.md,91,RFC 2833/4733 telephone-event,动态 PT、不同 clock、0–9/*/#/A–D、长按、结束包重传、跨包间隔、双腿重复；一次按键产生的事件数量、持续时间单位和顺序与基线相同,not_run
MED-08,scenario,04-sip-media-native.md,92,SIP INFO 与带内 DTMF,INFO 内容类型、duration、无效数字；语音与双音混合；检测、生成、透传和模式转换分别验证；重复来源不导致重复业务输入,not_run
MED-09,scenario,04-sip-media-native.md,93,DTMF 与应用交互,IVR、收号、play-and-get-digits、放音打断、DTMF 绑定与注入；相同输入得到相同业务分支和相关变量,not_run
MED-10,scenario,04-sip-media-native.md,94,NAT 与源地址学习,对称 RTP、SDP 私网地址、rport/received、NAT 映射变化、合法媒体换源、禁止 auto-adjust 的配置、陌生源注入；学习窗口及安全边界与基线对齐,not_run
MED-11,scenario,04-sip-media-native.md,95,RTCP,独立端口/rtcp-mux、SR/RR/SDES/BYE、扩展反馈、报告间隔、丢包/jitter 统计、终结与透明转发分别测；不能用转发 RTCP 证明生成报告兼容,not_run
MED-12,scenario,04-sip-media-native.md,96,SRTP/SDES,现网加密套件、mandatory/optional/forbidden、方向覆盖、重协商/换密钥、重放、认证失败；不能回落明文而报告加密成功,not_run
MED-13,scenario,04-sip-media-native.md,97,DTLS-SRTP、ICE 与 WebRTC,fingerprint/角色、握手重传、候选选择、ICE restart、网络切换、rtcp-mux、多媒体协商；按基线支持的组合测真实浏览器；记录失败事件与恢复窗口,not_run
MED-14,scenario,04-sip-media-native.md,98,放音、提示音、TTS/ASR/流式源,文件 URI、相对路径、语言/声音资产、媒体格式、seek/stop、播放完成/打断、外部服务超时；音频产物与应用事件同时验证,not_run
MED-15,scenario,04-sip-media-native.md,99,双腿录音与媒体 bug,record_session、uuid_record 及所用 API；单声道/立体声/方向、开始停止暂停恢复、追加、通话转接、录音跟随；文件可打开、声道归属、时长、路径及事件正确,not_run
MED-16,scenario,04-sip-media-native.md,100,录音故障,目录不存在、无写权限、磁盘满、编码失败、进程故障；API/事件错误与通话是否继续的行为对齐；不得发成功事件但缺文件,not_run
MED-17,scenario,04-sip-media-native.md,101,音频会议,按房间和成员数拓扑验收入会/离会、静音、主持人、PIN、锁定、DTMF 菜单、音量、旁听、成员控制、录音；输出音频、成员查询与 CUSTOM 事件一致,not_run
MED-18,scenario,04-sip-media-native.md,102,视频与会议,codec/PT/fmtp、分辨率、帧率、关键帧请求、PLI/FIR/NACK、音画同步；passthrough、转码、混屏分别验收，房间布局/屏幕共享按启用基线覆盖,not_run
MED-19,scenario,04-sip-media-native.md,103,G.711 传真、T.38、网关转换,txfax/rxfax、T.38 re-INVITE 接受/拒绝/回退、UDPTL 冗余、页数、ECM、超时、音频↔T.38；收发文件、页内容、结果变量和完成钩子一致,not_run
MED-20,scenario,04-sip-media-native.md,104,超时、静音、保持期间超时,RTP inactivity、hold timeout、早期媒体超时、合法 DTX 和单向媒体；不因丢一包或合法无声误杀通话；终止时间、原因和事件与基线相同,not_run
MED-21,scenario,04-sip-media-native.md,105,通话媒体资源释放,正常挂断、失败、fork、CANCEL race、re-INVITE 回滚、worker 故障后，端口、文件、codec context、定时器和共享缓冲最终回收；旧会话包不能进入复用后的新会话,not_run
NAT-01,scenario,04-sip-media-native.md,176,模块清单与装载,文件哈希、版本、CPU/OS、依赖、load/unload/reload 与失败返回均已记录；未满足依赖不会误报加载成功,not_run
NAT-02,scenario,04-sip-media-native.md,177,原有注册接口,模块注册的 applications、APIs、events、codecs、file formats 与实际能力目录一致,not_run
NAT-03,scenario,04-sip-media-native.md,178,内存和对象寿命,session/channel/frame/内存池指针在其规定寿命内有效；错误退出、取消及卸载无越界、悬空引用或泄漏,not_run
NAT-04,scenario,04-sip-media-native.md,179,线程、回调与重入,媒体线程与控制线程语义、阻塞规则、回调次序、锁与重入行为满足被移植模块实际要求,not_run
NAT-05,scenario,04-sip-media-native.md,180,codec 生命周期,初始化、fmtp、编码、解码、PLC/FEC、reset/destroy、非法长度及并发；不能跨 Rust/Go/C 边界传播异常或 unwinding,not_run
NAT-06,scenario,04-sip-media-native.md,181,运行中卸载/故障,活跃调用对模块的引用、拒绝/等待卸载、孤立模块进程退出、重启后的资源回收与基线声明一致,not_run
NAT-07,scenario,04-sip-media-native.md,182,非 codec 原生模块,media bug、ASR/TTS、MRCP、存储、CDR、文件格式、定时器及自定义模块分别用真实工作流验证,not_run
NAT-08,scenario,04-sip-media-native.md,183,ABI 认证复现,客户原二进制未经修改在认证环境执行；结果必须包含功能测试而非只列动态符号检查,not_run
MIG-01,scenario,04-sip-media-native.md,191,原配置与原客户端替换后可用,安装路径、配置、证书、入口地址、账号、模块和管理命令兼容 | 基线业务全回归；客户业务代码、终端设置和运营商配置不变，允许预先约定的运维部署步骤,not_run
MIG-02,scenario,04-sip-media-native.md,192,存量呼叫排空后切换,旧节点保留已有对话/媒体；新呼叫通过已存在或新增并经认证的入口策略去新节点；等待旧呼叫自然结束后停机 | 排空期间已有通话不中断，旧新节点事件/话单归属正确；记录最长等待时间及新呼叫可用性，超时不能自动强拆还称无损,not_run
MIG-03,scenario,04-sip-media-native.md,193,存量注册/订阅平滑接续,注册绑定、过期时间、凭据校验策略、NAT/transport 可达性、订阅版本及网关刷新所有权 | 已注册终端继续可被叫；重注册风暴可控；数据库复制不被误认为 TCP/TLS/WS 连接也已迁移,not_run
MIG-04,scenario,04-sip-media-native.md,194,活动通话在线迁移,两腿事务/对话、路由、应用执行点、定时器、媒体 SSRC/序列、抖动缓冲、SRTP/DTLS/ICE、codec 状态、录音等完整方案 | 无需等通话结束；故障注入后媒体缺口、信令成功率、重复执行、录音/话单连续性均达冻结指标；若只能恢复部分功能必须明确范围,not_run
MIG-05,scenario,04-sip-media-native.md,195,活动 ESL/脚本连接在线迁移,TCP/TLS 连接保持层或明确重连方案；订阅过滤器、linger、job/execute 关联、未完成命令、事件游标与客户端解析状态 | 原客户端无需重连才可称连接不断；若要重连则按重连兼容验收，不能将重放伪装成原版具备的可靠续传,not_run
MIG-06,scenario,04-sip-media-native.md,196,故障回滚,防止同一呼叫双主、地址归属、命令幂等、计费去重、注册归属与残留状态清理 | 失败切换能在冻结窗口内恢复；不产生重复扣费、重复外呼或两端同时接管,not_run
CAP-01,capacity_profile,04-sip-media-native.md,210,G.711 双向媒体转发，20 ms，SIP/UDP,双向真实满额包率；注册/事件/CDR 工作量；独立发生器和接收端,not_run
CAP-02,capacity_profile,04-sip-media-native.md,211,normal 媒体，同 codec，含 DTMF/RTCP,媒体处理开销、定时器、播放/收号真实比例；不是 proxy 的更名,not_run
CAP-03,capacity_profile,04-sip-media-native.md,212,codec A→B 与 B→A 转码,每种 codec、帧长、声道、复杂度、采样率及质量门槛,not_run
CAP-04,capacity_profile,04-sip-media-native.md,213,SIP/TLS 或 WSS + DTLS/SRTP/ICE,活动连接数、TLS 握手/秒、注册刷新、ICE restart 比例、加密包率,not_run
CAP-05,capacity_profile,04-sip-media-native.md,214,录音,同时录音通话比例、单/双声道、文件格式、实际磁盘带宽/延迟、文件关闭与持久化时间,not_run
CAP-06,capacity_profile,04-sip-media-native.md,215,音频会议,"例如 1,000 房×10 人与 10 房×1,000 人分别测试；发言比例、采样率、混音与录音配置",not_run
CAP-07,capacity_profile,04-sip-media-native.md,216,视频或传真,每路码率/分辨率/帧率、透传/转码/混屏；传真页数、图像复杂度、并发和成功率,not_run
CAP-08,capacity_profile,04-sip-media-native.md,217,现网混合业务,根据真实使用比例组合以上能力，持续有建呼/拆呼、转接、保持、刷新及事件消费,not_run
API-T01,scenario,05-api-contracts.md,95,全部发现接口及所有输出格式，含空集合/未知命令,实际注册与帮助/列表结构一致，未声明接口零漏项,not_run
API-T02,scenario,05-api-contracts.md,96,每个命令的合法输入、缺参、多参、空值、Unicode和边界,原生响应及副作用匹配，不由统一解析器改变文法,not_run
API-T03,scenario,05-api-contracts.md,97,uuid查询存在/不存在/结束中，变量未定义/空值/数组,正文逐字节、值类型与通道状态一致,not_run
API-T04,scenario,05-api-contracts.md,98,同一变量多次写、删除、多值、批量混合非法片段,部分成功与最终值符合参考，无隐式事务增强,not_run
API-T05,scenario,05-api-contracts.md,99,100个不同originate Job UUID/通道UUID混合并发,一一关联，无串腿、假完成或自动重复去重,not_run
