优先级,首期范围,原始ID,名称,分类,模块,实现状态,本地验证状态,完整契约通过,下一步动作,剩余差异,已测范围,接口文档
P0,core,key-ipc-pcm-turn-interrupt,内部PCM打断与有限淡出,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅本地G.711 8k mono 20ms图；不是FreeSWITCH同名命令、speak、录音或ASR上行接口。；内部session不是SIP UUID；Rust媒体层不拥有SIP ACK，外部Go入口另行核验正确ACK、分配及worker代次。；接受、关闭输入、Go句柄退休、Rust实际终态和远端收到是不同事实；结果未知需用原身份查询/停止，不盲重发音频。,真实立即停止和40ms淡出、旧轮拒绝、DTMF共用RTP身份继续；两种UDP模式的真实SIP/私有RVA1/Go句柄/继承FD/Rust本地A腿G.711、8kHz、20ms限定链路；共22顶层及12子项。不是FreeSWITCH成对、通用二进制畸形输入全集、ASR/TTS供应商或并发容量认证。,api/pcm-turn-reference.md
P0,core,key-ipc-pcm-turn-status,内部PCM真实轮次状态,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅本地G.711 8k mono 20ms图；不是FreeSWITCH同名命令、speak、录音或ASR上行接口。；内部session不是SIP UUID；Rust媒体层不拥有SIP ACK，外部Go入口另行核验正确ACK、分配及worker代次。；接受、关闭输入、Go句柄退休、Rust实际终态和远端收到是不同事实；结果未知需用原身份查询/停止，不盲重发音频。,原始回应身份/计数/终态及挂断、worker代次失效后的明确拒绝；两种UDP模式的真实SIP/私有RVA1/Go句柄/继承FD/Rust本地A腿G.711、8kHz、20ms限定链路；共22顶层及12子项。不是FreeSWITCH成对、通用二进制畸形输入全集、ASR/TTS供应商或并发容量认证。,api/pcm-turn-reference.md
P0,core,key-ipc-playback-file-start,内部 WAV 文件放音,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅 Go 控制面与 Rust 子进程 stdin/stdout 使用，有界 JSON 行；不是公开 HTTP/ESL。；请求/响应 id、session、ok、type 的语义不等于 UUID、Job-UUID 或 +OK。,两种UDP模式下真实WAV→G.711样本和尾帧、非法文件拒绝、loading停止/释放无迟到音频；限8k单声道/30秒,api/pcm-turn-reference.md
P0,core,key-ipc-playback-start,内部提示音启动,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅 Go 控制面与 Rust 子进程 stdin/stdout 使用，有界 JSON 行；不是公开 HTTP/ESL。；请求/响应 id、session、ok、type 的语义不等于 UUID、Job-UUID 或 +OK。,两种UDP模式下真实PCMU/PCMA波形和无B腿本地播放；限单音提示,api/pcm-turn-reference.md
P0,core,key-ipc-playback-status,内部提示音状态,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅 Go 控制面与 Rust 子进程 stdin/stdout 使用，有界 JSON 行；不是公开 HTTP/ESL。；请求/响应 id、session、ok、type 的语义不等于 UUID、Job-UUID 或 +OK。,两种UDP模式下实际播放状态、反向音频/双腿DTMF继续与CN替代,api/freeswitch-comparison.md#key-ipc-playback-status
P0,core,key-ipc-playback-stop,内部提示音停止,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅 Go 控制面与 Rust 子进程 stdin/stdout 使用，有界 JSON 行；不是公开 HTTP/ESL。；请求/响应 id、session、ok、type 的语义不等于 UUID、Job-UUID 或 +OK。,两种UDP模式下真实停止、幂等与任务所有权边界,api/pcm-turn-reference.md
P0,core,key-ipc-ready,内部启动握手,key_ipc,cross_interface,internal_only,not_run,False,补齐当前源码绑定的真实运行测试；失败先修复，过期证据重新执行,仅 Go 控制面与 Rust 子进程 stdin/stdout 使用，有界 JSON 行；不是公开 HTTP/ESL。；请求/响应 id、session、ok、type 的语义不等于 UUID、Job-UUID 或 +OK。,没有绑定此原始条目的当前本地运行证据,api/rx-stream-reference.md
P0,core,key-ipc-release,内部资源释放,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅 Go 控制面与 Rust 子进程 stdin/stdout 使用，有界 JSON 行；不是公开 HTTP/ESL。；请求/响应 id、session、ok、type 的语义不等于 UUID、Job-UUID 或 +OK。,释放失败结束分片代次与有界提交队列关闭,api/rx-stream-reference.md
P0,core,key-ipc-rx-status,内部上行订阅状态与对账,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,只接收本地G.711 PCMU/PCMA 8k、单声道、20ms图的A腿原生音频；不默认转16k，不含TX回音、双腿混音或外部ASR服务适配。；这是自有进程间合同，session/subscription_id不是SIP UUID或ESL Job-UUID；Rust本身不判断SIP ACK，服务端Go SDK另行授权。；真实解码、历史PLC、CN、按键辅助、缺包、源边界与导出缺口分开表达；非零能量和socket提交都不是VAD、用户发声或ASR识别结论。,实际身份、事件/样本计数和失败后仍可查询；PCMU/PCMA×普通/connected UDP 的真实 Rust→RXS2→Go SDK、本地 A 腿、8kHz/20ms；正常样本/250ms接收暂停/实际SIP授权清理共12子例。仅内部SDK，非HTTP、原版FS成对、ASR供应商、Linux运行或容量认证。MSG_PEEK仅核实OS队首，不代表整个队列抓包。,api/rx-stream-reference.md
P0,core,key-ipc-rx-stream,内部RXS2原生音频数据流,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,只接收本地G.711 PCMU/PCMA 8k、单声道、20ms图的A腿原生音频；不默认转16k，不含TX回音、双腿混音或外部ASR服务适配。；这是自有进程间合同，session/subscription_id不是SIP UUID或ESL Job-UUID；Rust本身不判断SIP ACK，服务端Go SDK另行授权。；真实解码、历史PLC、CN、按键辅助、缺包、源边界与导出缺口分开表达；非零能量和socket提交都不是VAD、用户发声或ASR识别结论。；Rust每订阅8槽，队列满或观察年龄达到100ms丢旧记录并报告连续缺口；无法保真对账则显式失败。写入连续一秒无进展隔离RX，控制与TX继续；Go每订阅8槽独立限流，慢读或过期明确失败，不把OS排队后的旧PCM当作新音频。,真实G.711输入逐样本核对、原始期限和过期拒绝；PCMU/PCMA×普通/connected UDP 的真实 Rust→RXS2→Go SDK、本地 A 腿、8kHz/20ms；正常样本/250ms接收暂停/实际SIP授权清理共12子例。仅内部SDK，非HTTP、原版FS成对、ASR供应商、Linux运行或容量认证。MSG_PEEK仅核实OS队首，不代表整个队列抓包。,api/rx-stream-reference.md
P0,core,key-ipc-rx-subscribe,内部原生音频上行订阅,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,只接收本地G.711 PCMU/PCMA 8k、单声道、20ms图的A腿原生音频；不默认转16k，不含TX回音、双腿混音或外部ASR服务适配。；这是自有进程间合同，session/subscription_id不是SIP UUID或ESL Job-UUID；Rust本身不判断SIP ACK，服务端Go SDK另行授权。；真实解码、历史PLC、CN、按键辅助、缺包、源边界与导出缺口分开表达；非零能量和socket提交都不是VAD、用户发声或ASR识别结论。,真实订阅及ACK前/错误来源ACK拒绝；PCMU/PCMA×普通/connected UDP 的真实 Rust→RXS2→Go SDK、本地 A 腿、8kHz/20ms；正常样本/250ms接收暂停/实际SIP授权清理共12子例。仅内部SDK，非HTTP、原版FS成对、ASR供应商、Linux运行或容量认证。MSG_PEEK仅核实OS队首，不代表整个队列抓包。,api/rx-stream-reference.md
P0,core,key-ipc-rx-unsubscribe,内部上行停止与终态,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,只接收本地G.711 PCMU/PCMA 8k、单声道、20ms图的A腿原生音频；不默认转16k，不含TX回音、双腿混音或外部ASR服务适配。；这是自有进程间合同，session/subscription_id不是SIP UUID或ESL Job-UUID；Rust本身不判断SIP ACK，服务端Go SDK另行授权。；真实解码、历史PLC、CN、按键辅助、缺包、源边界与导出缺口分开表达；非零能量和socket提交都不是VAD、用户发声或ASR识别结论。,明确退订、挂断撤销、资源归零及端口重新绑定；PCMU/PCMA×普通/connected UDP 的真实 Rust→RXS2→Go SDK、本地 A 腿、8kHz/20ms；正常样本/250ms接收暂停/实际SIP授权清理共12子例。仅内部SDK，非HTTP、原版FS成对、ASR供应商、Linux运行或容量认证。MSG_PEEK仅核实OS队首，不代表整个队列抓包。,api/rx-stream-reference.md
P0,core,key-ipc-shutdown,内部 worker 停止,key_ipc,cross_interface,internal_only,not_run,False,补齐当前源码绑定的真实运行测试；失败先修复，过期证据重新执行,仅 Go 控制面与 Rust 子进程 stdin/stdout 使用，有界 JSON 行；不是公开 HTTP/ESL。；请求/响应 id、session、ok、type 的语义不等于 UUID、Job-UUID 或 +OK。,没有绑定此原始条目的当前本地运行证据,api/freeswitch-comparison.md#key-ipc-shutdown
P0,core,key-ipc-stats,内部 worker 统计,key_ipc,cross_interface,internal_only,not_run,False,补齐当前源码绑定的真实运行测试；失败先修复，过期证据重新执行,仅 Go 控制面与 Rust 子进程 stdin/stdout 使用，有界 JSON 行；不是公开 HTTP/ESL。；请求/响应 id、session、ok、type 的语义不等于 UUID、Job-UUID 或 +OK。,没有绑定此原始条目的当前本地运行证据,api/rx-stream-reference.md
P0,core,key-media-capacity,一万路功能组合验收,key_media,cross_interface,not_verified,failed,False,将已有验收定义实例化为双端可运行测试；未知结果保留待验收,并发信令会话数不能替代双向媒体 100 万包/秒量级的真实提交与接收核对。；透传、转码、会议、录音和事件订阅需分 profile 验收。,5000路本地双向媒体场景；仅对应此硬件/格式/时长，不是万路或FreeSWITCH成对容量认证,api/freeswitch-comparison.md#key-media-capacity
P0,core,key-media-dtmf,DTMF 的媒体与业务层,key_media,cross_interface,partial,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,不提供音内检测、桥接/B腿或INFO发送、完整长事件分段和全部INFO格式。；read缓冲时序、全部原版事件字段和运营商终端差异仍需逐项对照。,两种UDP模式下telephone-event/CN时钟与透传、真实read收号及INFO去重；不含音内检测或完整FreeSWITCH收号语义,api/dtmf-send-reference.md
P0,core,key-media-failover,故障隔离与活动状态迁移,key_media,cross_interface,partial,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,进程重启恢复新服务能力不等于恢复同一通活动呼叫。；排空旧呼叫后切换与不停话在线迁移必须分别验收。,两种UDP模式下分片故障代次重启与另一分片媒体继续；受损分片通话会结束，不是活动状态无损迁移,api/freeswitch-comparison.md#key-media-failover
P0,core,key-media-nat,NAT 对端学习与迁移,key_media,cross_interface,partial,not_run,False,补齐当前源码绑定的真实运行测试；失败先修复，过期证据重新执行,NAT 端口改变会被拒绝，不能声称移动终端无感。；connected socket 由内核提前过滤的包不会全部反映在应用 source_rejected 中。,没有绑定此原始条目的当前本地运行证据,api/freeswitch-comparison.md#key-media-nat
P0,core,key-media-recording,录音 API、事件和文件,key_media,cross_interface,export_only,not_run,False,实现配置在运行时的真实消费与重载，再对照配置生效和错误行为,不能用 journal_written_events 证明录音成功。；磁盘满、转接跟随、文件完整性与原后端对接尚未实现。,没有绑定此原始条目的当前本地运行证据,api/freeswitch-comparison.md#key-media-recording
P0,core,key-media-rtcp,RTCP 转发与统计,key_media,cross_interface,partial,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,只使用独立RTCP端口；rtcp-mux、SRTCP、完整反馈、质量事件与带宽自适应周期未完成。；本地成对端点实测与FreeSWITCH原版成对认证是不同证据。,两种UDP模式下测试RTCP包双向原样转发和端口归属；不覆盖原版完整RTCP统计/反馈语义,api/processed-media-reference.md
P0,core,key-media-rtp,主流音频同格式 RTP 转发,key_media,cross_interface,partial,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,两种模式使用不同媒体合同，不能概括为全部FreeSWITCH proxy/bypass/normal行为。；本地UDP提交和功能回归不构成远端零丢包或万路性能承诺。,两种UDP模式下固定音频向量同格式RTP透传、跨批次接收及未协商载荷拒绝；不证明解码音质、转码或容量,api/processed-media-reference.md
P0,core,key-media-security,SRTP、DTLS 与 ICE,key_media,cross_interface,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,不能接替需要 WebRTC/SRTP 的现有终端。；不得把媒体 IP 白名单称为媒体身份认证。,没有绑定此原始条目的当前本地运行证据,api/freeswitch-comparison.md#key-media-security
P0,core,key-media-transcoding,转码通话,key_media,cross_interface,partial,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,G.711双腿处理、本地播放、流式PCM与原生RX各有独立验收材料，不能互相传播通过状态。G.722/Opus实时处理、双腿混入、外部ASR/TTS适配、VAD与录音仍未接入。；内部RX与单路SIP逐样本验证不等于原版媒体钩子/录音兼容、原版成对音质或5000/10000路Agent容量；详见api/rx-stream-reference.md。,两种 UDP socket 模式各完整 11 项真实双腿 G.711 PCMU/PCMA、8kHz、20ms 转码；40ms 缓冲/120ms 上限、重排/迟到/CN/DTMF、基本 RTCP 和回收。仅本地限定功能，不包含 G.722/Opus、其他帧长、本地 IVR、ASR/TTS、FreeSWITCH 原版 API 或并发容量认证。,api/processed-media-reference.md
P1,compatibility_adapter,registration:api:core:uuid_msrp_send:1892,uuid_msrp_send,fs_api,core,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:msleep:7690,msleep,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:originate:7692,originate,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:sched_hangup:7706,sched_hangup,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:sched_transfer:7707,sched_transfer,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_answer:7727,uuid_answer,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_audio:7728,uuid_audio,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_break:7729,uuid_break,fs_api,mod_commands,partial,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,完整原版命令参数、权限、错误、并发及事件分支尚未全部差分。；变量数组/展开、完整挂机原因及原版完整status格式不支持；有界额度超限会显式失败。,两种UDP模式下活动playback真实停音且保留通话；read仅停提示音仍等待期限。all/both/无活动播放或任意应用break尚未兼容,api/esl-reference.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_bridge:7730,uuid_bridge,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_broadcast:7731,uuid_broadcast,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_buglist:7732,uuid_buglist,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_capture_text:7735,uuid_capture_text,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_chat:7733,uuid_chat,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_codec_debug:7736,uuid_codec_debug,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_codec_param:7737,uuid_codec_param,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_debug_media:7738,uuid_debug_media,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_deflect:7739,uuid_deflect,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_displace:7740,uuid_displace,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_display:7741,uuid_display,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
P1,compatibility_adapter,registration:api:mod_commands:uuid_drop_dtmf:7743,uuid_drop_dtmf,fs_api,mod_commands,not_implemented,not_run,False,实现原版调用入口及业务副作用，再执行正向、错误、事件与回收对照,注册描述和帮助字符串不包含完整错误、权限、事件与竞态合同。；实际模块构建/加载、动态注册和每个子命令仍须原版运行发现。,没有绑定此原始条目的当前本地运行证据,freeswitch-compatibility/05-api-contracts.md
