section,编号,优先级,目标能力,可衡量验收要求,当前状态 / 依赖,目标与可衡量验收,名称/优先级,当前状态,指标、测量和通过门槛,当前结论
4. 非功能与架构约束（NF，12项）,NF-01,P0,,,L/K，完整Agent N。,Rust媒体、Go业务与C/C++适配职责明确；提供实际依赖/进程图，模型、任务与租户业务实体不进入媒体热路径。,,,,
4. 非功能与架构约束（NF，12项）,NF-02,P0,,,L；1k/5k/10k实测 V。,固定媒体Worker、单会话单写者；全生命周期归属可追踪，建呼/挂机峰值不产生一通话一个OS线程。,,,,
4. 非功能与架构约束（NF，12项）,NF-03,P0,,,L/K局部；完整故障矩阵 V。,媒体Worker禁止同步数据库、磁盘、HTTP、模型等待和业务锁等待；阻塞注入时其他会话仍满足PERF-05。,,,,
4. 非功能与架构约束（NF，12项）,NF-04,P0,,,L；预算T10/完整容量 V。,收包、发送、普通控制与挂断/打断各有公平预算；单路攻击和控制洪峰均不能饿死其他会话。,,,,
4. 非功能与架构约束（NF，12项）,NF-05,P0,,,L/K部分；完整清单T10。,所有RTP/ASR/TTS/录音/日志队列有条数、字节或音频ms上限及最老年龄；每个满载分支有明确处理和可测资源上限。,,,,
4. 非功能与架构约束（NF，12项）,NF-06,P0,,,L部分，全面零分配 V；T11。,会话预分配、池耗尽不无界扩容；稳态RTP/PCM通用堆分配目标为0，实际统计含FFI，偏离须记录调用点和预算。,,,,
4. 非功能与架构约束（NF，12项）,NF-07,P0,,,K局部；完整录音 N。,慢ASR/录音不能长期持有实时池；逐分支测队列/池耗尽、取消和回收，借用/复制/共享方案按实测选定。,,,,
4. 非功能与架构约束（NF，12项）,NF-08,P0,,,L；多socket收益 V。,基础UDP非阻塞；只批处理已到达/已到发送时刻的数据，不为凑批等待；部分send/EAGAIN/ENOBUFS有明确归因。,,,,
4. 非功能与架构约束（NF，12项）,NF-09,P1,,,L部分；目标拓扑 V。,Linux亲和性、NUMA、IRQ/RSS/RPS/RFS/XPS按T01可配置；逐项A/B记录资源和尾延迟，不默认全部开启。,,,,
4. 非功能与架构约束（NF，12项）,NF-10,P0,,,L；T14故障边界 V。,少量独立媒体进程；故障影响边界以实际所属会话证明，其他分片质量满足阈值；不承诺一个Worker崩溃只伤一路。,,,,
4. 非功能与架构约束（NF，12项）,NF-11,P0,,,L依赖；自有LICENSE待决策；ACC-03/08。,固定依赖版本/许可/来源；自有源码发行许可证与版权归属按T21确认；Rust/Go/C错误和解析异常不能跨FFI越界、无限分配或重复释放；构建可复现。,,,,
4. 非功能与架构约束（NF，12项）,NF-12,P0,,,L/K部分；全仓审阅清单 V，ACC-10。,新增及修改自有代码/公开合同有完整中文注释：目的、所有权、单位、状态、期限、错误、并发及清理均可审阅；保留第三方原许可，不以逐行翻译修改vendor。,,,,
5. 接口与数据合同（IF，10项）,IF-01,P0,,,L；候选源增量不等于嵌入发布。,全部已注册HTTP操作都有OpenAPI参数、嵌套模型、响应/错误及FS关系；validate_spec对实际路由集合一致，本地引用全部可解析。,,,,
5. 接口与数据合同（IF，10项）,IF-02,P0,,,L/K；RVA1/RXS2/ASR1范围分开。,非HTTP协议分别定义帧、长度、字节序、版本、身份、上限、超时和背压；协议存在不能当完整业务完成。,,,,
5. 接口与数据合同（IF，10项）,IF-03,P0,,,L部分；统一接口T03/T05。,命令区分受理、执行、完成；幂等键/会话版本/截止时间冻结，同键重试不重复副作用，未知结果可查询。,,,,
5. 接口与数据合同（IF，10项）,IF-04,P0,,,L部分；T05。,事件具备序号、Call/Leg/turn/版本、原因和时间；断线订阅恢复或丢失显式可见，不静默补造成功。,,,,
5. 接口与数据合同（IF，10项）,IF-05,P0,,,L/K；新增配置仍验收。,配置active/desired/revision和冻结部署字段准确；冲突409、非法422与超时后核对有真实测试，完整PUT不丢只读部署原值。,,,,
5. 接口与数据合同（IF，10项）,IF-06,P0,,,L/K；所有新接口回归。,数值保真：样本率与RTP clock分开，媒体时间非UTC，u64跨语言不截断；每种协议明确数字/字符串表示及零/null/未知语义。,,,,
5. 接口与数据合同（IF，10项）,IF-07,P0,,,L；真实TTS N。,PCM下行的BEGIN/DATA/END/INTERRUPT、token、turn及数据连接映射有正反例；END受理不等于实际播放完。,,,,
5. 接口与数据合同（IF，10项）,IF-08,P0,,,L/K；真实供应商/故障组合 V。,RX与ASR明确授权、来源和不可续期观察期限；取消不等于资源退休，unknown继续占额度，Closed与final消费分别表示。,,,,
5. 接口与数据合同（IF，10项）,IF-09,P1,,,L编解码、D预留协议；P2宿主。,C编解码ABI的版本、容量、错误和释放可测试；协议ABI提供器及原版模块宿主若未实现，必须明确拒绝，不声称可加载mod_*.so。,,,,
5. 接口与数据合同（IF，10项）,IF-10,P0,,,L；本批整体发布 V。,文档与后台、下载包、命令示例及源实现绑定；新增/修改机器模型同步字段字典，发布门禁验证路由/字段/审计/原证据，失败则保留非发布状态，不绕过门禁或手改绿色。,,,,
5. 接口与数据合同（IF，10项）,CMD01,,,创建一次实际呼叫，目标和唯一身份明确；重复键、取消、超时和失败清理通过。,,,CreateCall / P0,L受控SIP，通用主动创建N。,,
5. 接口与数据合同（IF，10项）,CMD02,,,真实SIP状态转移；重复应答不重复事件，早答/挂断竞争与MediaReady分开。,,,AnswerCall / P0,L有限本地应答。,,
5. 接口与数据合同（IF，10项）,CMD03,,,重复结束无额外副作用；各腿信令/媒体释放结果可观察，旧命令不伤复用会话。,,,HangupCall / P0,L有限uuid_kill/hangup。,,
5. 接口与数据合同（IF，10项）,CMD04,,,实际声音、时钟、开始/结束/失败、turn和队列上限匹配；支持所需流式来源。,,,PlayAudio / P0,L tone/WAV/PCM；厂商N。,,
5. 接口与数据合同（IF，10项）,CMD05,,,加载中、已排队、播放中均可停止且只完成一次；迟到块和0/20/40ms动作独立验证。,,,StopAudio / P0,L；自动Agent协同N。,,
5. 接口与数据合同（IF，10项）,CMD06,,,双端真实音频、失败原子性与释放；转接不遗留错误拓扑或半桥。,,,Bridge / P0,L建呼桥接；中途通用N。,,
5. 接口与数据合同（IF，10项）,CMD07,,,真实双轨写入开始时刻、权限、预算明确；不可写盘不得报告已录音。,,,StartRecord / P0,N。,,
5. 接口与数据合同（IF，10项）,CMD08,,,排空、最终文件/对象、时长/校验和完成；重复停止与中断恢复通过。,,,StopRecord / P0,N。,,
5. 接口与数据合同（IF，10项）,CMD09,,,Agent配置和会话版本校验；在指定帧/turn边界生效，旧版本结果不能继续输出。,,,UpdateAgent / P0,N。,,
5. 接口与数据合同（IF，10项）,CMD10,,,返回可关联信令、媒体、turn、队列/清理与版本；结束/未知区别明确，重连后能同步。,,,GetCallState / P0,L各独立快照；统一Agent状态N。,,
5. 接口与数据合同（IF，10项）,EV01,,,只代表实际创建，含Call/Leg与版本；准入失败不伪造，重传不重复。,,,CallCreated / P0,L CHANNEL_CREATE子集。,,
5. 接口与数据合同（IF，10项）,EV02,,,180/早期媒体对应正确，临时响应去重，取消竞争可重放。,,,Ringing / P0,L信令；统一事件N。,,
5. 接口与数据合同（IF，10项）,EV03,,,与真实应答匹配，重复200/ACK不重复发布；不替代MediaReady。,,,Answered / P0,L CHANNEL_ANSWER子集。,,
5. 接口与数据合同（IF，10项）,EV04,,,所定义收发与授权前提全部满足才发；未ACK/分配失败不假就绪。,,,MediaReady / P0,L状态/K资格；统一事件N。,,
5. 接口与数据合同（IF，10项）,EV05,,,16键、来源/时长/结束正确且去重；发送受理不能当对端接收事件。,,,DTMF / P0,L有限接收和本地发送。,,
5. 接口与数据合同（IF，10项）,EV06,,,来自真实RX检测且含媒体时间；噪声、CN、丢包、自身TTS误触发≤T07。,,,SpeechStart / P0,N。,,
5. 接口与数据合同（IF，10项）,EV07,,,尾静音与endpoint策略符合T07/T08，短答、连续语音和缺口区分。,,,SpeechEnd / P0,N。,,
5. 接口与数据合同（IF，10项）,EV08,,,旧/新turn、原因和四段时间可关联；旧音频失效与最后提交有证据。,,,Interrupted / P0,L动作；统一语音事件N。,,
5. 接口与数据合同（IF，10项）,EV09,,,区分自然完成、break/DTMF、失败、取消；不能用FILE PLAYED表示全量播完。,,,PlaybackFinished / P0,L有限应用事件。,,
5. 接口与数据合同（IF，10项）,EV10,,,原因、腿与顺序可重建；信令结束、媒体清理、录音持久化分别观察。,,,Hangup / P0,L信令；完整释放事件V。,,
5. 接口与数据合同（IF，10项）,EV11,,,来源、影响范围、版本、可重试性明确；限流不吞关键故障，重复错误有可核对聚合。,,,MediaError / P0,L/K独立错误；统一Agent事件N。,,
6. 安全与隔离要求（SEC，8项）,SEC-01,P0,,,L回环/CSRF；远程身份N。,管理接口鉴权、访问边界、CSRF/来源与写权限分别校验；远程身份系统若启用必须按T12验收，回环CSRF不冒充账户认证。,,,,
6. 安全与隔离要求（SEC，8项）,SEC-02,P0,,,N完整租户；T12。,租户身份、线路、呼叫、媒体、记录和配额隔离；跨租户UUID/路径/token负例无数据或副作用泄漏。,,,,
6. 安全与隔离要求（SEC，8项）,SEC-03,P0,,,L/K；目标线路V。,SIP/媒体源白名单及SDP目的地约束；伪造源、错端口、旧代次和复用端口不能串音或任意转发。,,,,
6. 安全与隔离要求（SEC，8项）,SEC-04,P0,,,L有限SIP TLS；SRTP N，T12。,按T02接入安全要求提供TLS/SRTP；错证书/名称/版本/密钥必须拒绝，不允许静默明文降级。,,,,
6. 安全与隔离要求（SEC，8项）,SEC-05,P0,,,L部分；T12/T17。,凭据通过受限文件/密钥管理提供；日志、URL、指标、源码包与文档不包含真实密码/token/录音。,,,,
6. 安全与隔离要求（SEC，8项）,SEC-06,P0,,,L/K；正反例回归。,私有Unix入口核对目录/socket/对端UID与不可变身份；不把同UID等同恶意进程隔离，错误ACK不能收发受保护音频。,,,,
6. 安全与隔离要求（SEC，8项）,SEC-07,P0,,,L/K部分；T18。,SIP/RTP/RTCP/IPC/ASR1/FFI异常输入、限长、溢出和fuzz纳入验收；畸形输入不无限分配、死循环或跨通话崩溃。,,,,
6. 安全与隔离要求（SEC，8项）,SEC-08,P0,,,N完整音频数据链。,录音、识别文本和诊断的访问、加密、留存、删除与导出策略按T17配置并验收；无法删除或访问越权可观测。,,,,
7. 运维、后台与保护要求（OPS，10项）,OPS-01,P0,,,L模板；生产T01/T16 V。,Linux部署清单含用户、目录、端口、FD、系统服务、库许可与源/二进制配置指纹；干净环境可按文档构建启动。,,,,
7. 运维、后台与保护要求（OPS，10项）,OPS-02,P0,,,L；候选继续回归。,health、ready、draining、stopping、配置有效/待生效明确区分；healthy不能掩盖媒体不可准入。,,,,
7. 运维、后台与保护要求（OPS，10项）,OPS-03,P0,,,L；业务口径需T04冻结。,峰值保护分别限制资源活跃、建立中、已接通观察及CPS；页面中文准确解释。8000/1000是拟议活动/建立中策略，不是已接通1000上限承诺。,,,,
7. 运维、后台与保护要求（OPS，10项）,OPS-04,P0,,,L部分；完整保护矩阵V。,软高水位降新准入速率、硬限拒新呼叫；不人为拖延已有200/ACK/BYE。最忙Worker、丢帧/迟到、池和队龄触发保护，存量满足T07。,,,,
7. 运维、后台与保护要求（OPS，10项）,OPS-05,P0,,,L；生产演练V。,停新接入、排空、注销和强制退出分别可操作；T14内完成或明确失败，不能为清零立即删除合法协议缓存。,,,,
7. 运维、后台与保护要求（OPS，10项）,OPS-06,P0,,,L；小电话为SIP/媒体，非浏览器麦克风。,后台支持500/1000/2000/3000/5000/自定义作业与单路小电话；预检、幂等创建、停止、进度、错误和报告可下载。,,,,
7. 运维、后台与保护要求（OPS，10项）,OPS-07,P0,,,L；诊断候选变更待整体验收。,总览主实例与隔离测试分区，标注任务/实例/采样时间；切页、迟到回复、读取失败不串数据、不补零、不重复启动。,,,,
7. 运维、后台与保护要求（OPS，10项）,OPS-08,P0,,,L部分/K诊断；完整字段合同和运行V。,指标按相同PID/代次/采样窗口对账，统计请求与返回时间可追踪；unsupported/null与0分开，计数清零需有重启身份。,,,,
7. 运维、后台与保护要求（OPS，10项）,OPS-09,P0,,,L部分；T15。,低基数指标、限时限量逐通话追踪、非阻塞日志；观测开销≤T15，采样和丢弃诊断不得掩盖关键业务错误。,,,,
7. 运维、后台与保护要求（OPS，10项）,OPS-10,P0,,,L部分手册；完整链V。,通道卡住、无声、注册失败、ASR/TTS慢读、满盘、worker退出、报告读取失败都有中文诊断和恢复步骤，并实际演练T14。,,,,
8. 迁移与兼容要求（MIG，8项）,MIG-01,P0,,,L固定1.11.3目录；现网T02/T03/T20待定。,冻结实际FS版本、模块、脚本、ESL命令/事件、XML参数、线路和业务用例清单；明确必需/可替换/暂缓。,,,,
8. 迁移与兼容要求（MIG，8项）,MIG-02,P0,,,L有限成对证据；完整必需矩阵V。,逐项比较入口、参数、响应字节、事件顺序、副作用、超时取消与回收；只有白名单动态字段可规范化，真实差异保留。,,,,
8. 迁移与兼容要求（MIG，8项）,MIG-03,P0,,,L账本；新候选需独立证据。,原ID及未实现/未验证项保留；候选内部API、仅导出配置、局部正例不能授予原版模块绿色。,,,,
8. 迁移与兼容要求（MIG，8项）,MIG-04,P0,,,L有限配置；T03覆盖V。,将现网必需配置映射到运行参数或明确替代；未消费XML显式告知，不以可编辑/可导出伪装执行。,,,,
8. 迁移与兼容要求（MIG，8项）,MIG-05,P0,,,架构允许；实际拓扑T01/T02。,暂保留FS/SBC时拓扑、责任、故障边界与资源成本完整披露；性能报告计入全部必要进程。,,,,
8. 迁移与兼容要求（MIG，8项）,MIG-06,P0,,,N生产灰度。,灰度按1%→5%→20%→50%→100%，每档满足T16观察期、成功率、音质及自动停止条件后推进。,,,,
8. 迁移与兼容要求（MIG，8项）,MIG-07,P0,,,L手册；演练V，不承诺活动会话迁移。,保留旧二进制/配置/依赖/证据，真实回退演练达到T16；默认新呼叫切回FS、旧呼叫排空。,,,,
8. 迁移与兼容要求（MIG，8项）,MIG-08,P1,,,L部分；生产矩阵V。,各升级字段/协议版本有兼容和拒绝策略；迁移说明列出不可替代模块、数据格式及操作差异，无歧义的人工切换步骤。,,,,
9. 性能与可靠性验收目标（PERF，10项）,PERF-01,P0,,,,,,,三类profile分别冻结：rtp_forwarding、codec_processing、full_voice_agent；同硬件、同codec/ptime、音质、录音、安全、模型协议与资源配额比较调优FS。,V；基线T01/T20。
9. 性能与可靠性验收目标（PERF，10项）,PERF-02,P0,,,,,,,codec_processing按单路→1000→5000→10000测实际持续媒体；每档保持T04并发/CPS/时长，媒体、音质、尾延迟、错误与清理同时达标。,V；历史relay不可替代。
9. 性能与可靠性验收目标（PERF，10项）,PERF-03,P0,,,,,,,full_voice_agent在相同音质/功能条件下稳定并发≥FS基线1.5倍；进阶目标2倍单独记录；1万绝对目标按对应实际profile验收。,V；依赖完整M2及PERF-01。
9. 性能与可靠性验收目标（PERF，10项）,PERF-04,P0,,,,,,,同并发下单位有效通话时间CPU成本下降≥30%，同口径内存占用下降≥30%；含Go/Rust/保留FS/适配/录音/内核等全部必要成本。,V；T01/T11/T20。
9. 性能与可靠性验收目标（PERF，10项）,PERF-05,P0,,,,,,,已具备发送条件的包相对计划时刻交给内核的迟到P99≤2ms、P99.9≤5ms；原始分布与样本量保留，不与RTCP jitter或用户端延迟混用。,V；T04/T07。
9. 性能与可靠性验收目标（PERF，10项）,PERF-06,P0,,,,,,,72小时混合建呼、挂机、抢话、录音与故障注入；无串音/旧回复复播，无无法解释的内部音频缺口，资源增长≤T11预算。,V；完整M2、T13/T14。
9. 性能与可靠性验收目标（PERF，10项）,PERF-07,P0,,,,,,,并发+CPS联合扫描、单Worker到多Worker扩展曲线包含最忙分片、线程/切换、池/队列年龄；不能把两个独立峰值拼成同时容量。,V；T01/T04。
9. 性能与可靠性验收目标（PERF，10项）,PERF-08,P0,,,,,,,网络/磁盘预算含全部方向、RTCP、AI连接与录音；20ms每方向50pps，1万单腿双向约100万pps、双腿约200万pps，仅作规划。,V；独立发生器T01，实际吞吐验证。
9. 性能与可靠性验收目标（PERF，10项）,PERF-09,P0,,,,,,,过载和分片故障期间优先保护存量；其音质/迟到/误结束≤T07/T14，新呼叫明确拒绝；不得降实际并发仍按原档位报告通过。,V；OPS-03/04。
9. 性能与可靠性验收目标（PERF，10项）,PERF-10,P1,,,,,,,新网络/内存后端只有在profile证实瓶颈后引入，按相同负载比较总CPU、吞吐和尾延迟；收益未达T19则不进入默认部署。,V；io_uring/AF_XDP/DPDK为后续选项。
10. 测试、证据与交付验收（ACC，10项）,ACC-01,P0,,,L/K有限通过；新增路径重验。,单路真实SIP/媒体小电话核验INVITE/ACK、双向音频、DTMF、挂断与资源；错ACK/无资格/超时均有负例。,,,,
10. 测试、证据与交付验收（ACC，10项）,ACC-02,P0,,,部分L/K；完整覆盖V。,每个P0/P1实际使用能力有正向、异常、取消/重复和资源回收用例；121需求与既有V1/CMD/EV/FS ID可追踪。,,,,
10. 测试、证据与交付验收（ACC，10项）,ACC-03,P0,,,L/K证据；交付离线构建单列，最终候选验收独立。,Rust/Go/C单元、race、静态检查、平台构建分开记录；验证打包源码及vendor/固定原生源能离线编译。编译成功不等于功能、发布门禁或性能通过，Linux编译不等于Linux运行。,,,,
10. 测试、证据与交付验收（ACC，10项）,ACC-04,P0,,,K ASR模拟；TTS/真实厂商N。,先真实协议/连接的可控ASR/TTS模拟服务，再真实厂商；只输出摘要的mock明确不验证识别准确率或生成质量。,,,,
10. 测试、证据与交付验收（ACC，10项）,ACC-05,P0,,,L/K部分；完整业务V。,故障矩阵含集中建呼/挂机、控制洪峰、ASR停读、TTS突发/迟到、网络异常、满盘、进程/FFI退出、端口复用；按T13/T14判定影响与恢复。,,,,
10. 测试、证据与交付验收（ACC，10项）,ACC-06,P0,,,L工具/已知失败；目标容量V。,压测实际生成全量目标，逐路每方向唯一包、内容、时序和对端接收可核验；不以少量成功包的零丢包率通过，发生器瓶颈单独报告。,,,,
10. 测试、证据与交付验收（ACC，10项）,ACC-07,P0,,,L/K；整包门禁V。,每次证据有唯一运行ID、时间、命令、配置、源/二进制/依赖指纹、原始报文或摘要、结果与清理；运行前后匹配，并满足T22有效期。改源、哈希不符或复查逾期保留历史，不能沿用绿色。,,,,
10. 测试、证据与交付验收（ACC，10项）,ACC-08,P0,,,L有限对照；T03目标矩阵V。,对照必须有真实FS与候选同探针输出，明确规范化白名单；未加载/缺实现/缺探针/未运行/失败/过期分别保留。,,,,
10. 测试、证据与交付验收（ACC，10项）,ACC-09,P0,,,L；观测修复候选需重验。,失败报告、读取失败、资源预检不足、停止和未完整结果均明确；只在全部必需断言满足后绿，图表不改变结果。,,,,
10. 测试、证据与交付验收（ACC，10项）,ACC-10,P0,,,本轮资料交付进行中；包验证后记录。,同一交付包包含完整源码/构建依赖、已实现范围、未完成清单、本文、架构/拓扑、全部接口/使用/部署/回滚/压测/线路材料及许可；链接/哈希/中文注释可核对。,,,,
